Model,Score,Runtime
RandomForest,233.50820703292052,395.4970655441284
RandomForest,233.3410144687397,392.0907733440399
RandomForest,233.44902413422264,398.1279504299164
RandomForest,233.48015196151042,396.39177799224854
RandomForest,233.43792185570135,398.07741379737854
Mean,246.62203234208732,0.0015780925750732422
Mean,246.62203234208732,0.0011227130889892578
Mean,246.62203234208732,0.0011684894561767578
Mean,246.62203234208732,0.0012137889862060547
Mean,246.62203234208732,0.0011744499206542969
KNN,239.35809874737933,2.1044201850891113
KNN,239.35809874737933,1.8228623867034912
KNN,239.35809874737933,2.2826080322265625
KNN,239.35809874737933,0.9357931613922119
KNN,239.35809874737933,0.6716039180755615
LinearReg,236.74364585078587,0.38805127143859863
LinearReg,236.74364585078587,0.42145466804504395
LinearReg,236.74364585078587,0.40557265281677246
LinearReg,236.74364585078587,0.4174942970275879
LinearReg,236.74364585078587,0.4071986675262451
RBF SVR,246.01978427086917,18.461187601089478
RBF SVR,246.01978427086917,18.537376403808594
RBF SVR,246.01978427086917,18.535900831222534
RBF SVR,246.01978427086917,18.635687828063965
RBF SVR,246.01978427086917,18.763580322265625
Xception,355.86411669596396,335.29452776908875
Xception,356.2131911443404,336.78592133522034
Xception,359.47879838238424,332.6810667514801
Xception,359.0396070192019,334.05459666252136
Xception,357.9009412367118,331.50489711761475
Lasso,236.08918930623508,2.09869384765625
Lasso,236.08918930623508,2.7735376358032227
Lasso,236.08918930623508,3.0268361568450928
Lasso,236.08918930623508,2.6979007720947266
Lasso,236.08918930623508,1.7478077411651611
EEGNet,540.9229534681722,77.7896671295166
EEGNet,540.8287304097267,77.39145255088806
EEGNet,540.9636743739779,77.31187629699707
EEGNet,540.7584161802357,77.35170912742615
EEGNet,541.0126355567206,79.60541796684265
Constant,246.85905665369214,0.00211334228515625
Constant,246.85905665369214,0.001165628433227539
Constant,246.85905665369214,0.0011148452758789062
Constant,246.85905665369214,0.0011379718780517578
Constant,246.85905665369214,0.0011477470397949219
Median,246.46833848092263,0.002276897430419922
Median,246.46833848092263,0.001730203628540039
Median,246.46833848092263,0.001556396484375
Median,246.46833848092263,0.0016665458679199219
Median,246.46833848092263,0.0016851425170898438
ElasticNet,236.2529916976169,1.9828481674194336
ElasticNet,236.2529916976169,3.018355369567871
ElasticNet,236.2529916976169,3.156886100769043
ElasticNet,236.2529916976169,3.04225492477417
ElasticNet,236.2529916976169,1.7540016174316406
AdaBoost,238.70013321334397,126.34242868423462
AdaBoost,238.9576202087118,127.9041805267334
AdaBoost,239.02166926933936,124.72286057472229
AdaBoost,238.87150864550665,125.74665832519531
AdaBoost,239.09806716247195,125.86579632759094
Ridge,236.4914352695005,0.13084077835083008
Ridge,236.4914352695005,0.15073633193969727
Ridge,236.4914352695005,0.1475222110748291
Ridge,236.4914352695005,0.14561104774475098
Ridge,236.4914352695005,0.14939475059509277
InceptionTime,357.5761829151152,553.1978602409363
InceptionTime,352.84489053856714,545.6471920013428
InceptionTime,362.7201686960265,539.0927357673645
InceptionTime,356.6169889843602,533.8735845088959
InceptionTime,355.144776056338,538.7134699821472
XGBoost,235.99964235406506,48.489898920059204
XGBoost,235.99964235406506,51.795743465423584
XGBoost,235.99964235406506,50.38439059257507
XGBoost,235.99964235406506,48.460444688797
XGBoost,235.99964235406506,49.54443287849426
PyramidalCNN,396.2033328161832,119.01123547554016
PyramidalCNN,396.71753713592375,118.91951012611389
PyramidalCNN,395.5853546258767,117.88629126548767
PyramidalCNN,398.2269928078694,118.49879884719849
PyramidalCNN,397.0832529603359,117.85853147506714
CNN,493.1341194506326,222.03271055221558
CNN,489.4893157798468,221.7478108406067
CNN,490.1832841899853,225.99406814575195
CNN,490.6212960316299,224.2848494052887
CNN,490.5525924295517,223.1941237449646
GradientBoost,235.09876108031864,881.3097472190857
GradientBoost,234.84358214576318,881.2123770713806
GradientBoost,234.83977625453838,869.490133523941
GradientBoost,234.8951476301584,873.6911385059357
GradientBoost,234.99705804866,872.8221549987793
