Model,Mean_score,Std_score,Mean_runtime,Std_runtime
RandomForest,233.44326389061888,0.0567362380215179,396.0369962215424, 2.2147443927216512
Mean,246.62203234208732,0.0,0.0012515068054199218, 0.00016583025295974682
KNN,239.35809874737933,0.0,1.5634575366973877,0.6428801355552397
LinearReg,236.74364585078587,0.0,0.4079543113708496,0.011624502142406875
RBF SVR,246.01978427086917,0.0,18.586746597290038,0.10435820985115375
Xception,357.69933089572044,1.4546555518391686,334.0642019271851,1.8646530238627934
Lasso,236.08918930623508,0.0,2.468955230712891,0.47192474476665563
EEGNet,540.8972819977665,0.09203961220739651,77.89002461433411,0.8746724096852315
Constant,246.85905665369214,0.0,0.001335906982421875,0.00038906328068952857
Median,246.46833848092263,0.0,0.0017830371856689454,0.00025345963261810166
ElasticNet,236.2529916976169,0.0,2.5908692359924315,0.5961385000940717
AdaBoost,238.92979969987474,0.1368740147209833,126.11638488769532,1.0381436714865322
Ridge,236.4914352695005,0.0,0.14482102394104004,0.0072010785376877134
InceptionTime,356.9806014380814,3.283410516441004,542.1049685001374,6.6922505205761835
XGBoost,235.99964235406506,0.0,49.734982109069826,1.255345015427638
PyramidalCNN,396.76329406923776,0.8885920687873818,118.43487343788146,0.49076773202000396
CNN,490.79612157632926,1.2360756876888916,223.4507125377655,1.5582608056572853
GradientBoost,234.93486503188768,0.09968129102660525,875.7051102638245,4.748376401866366
