Model,Mean_score,Std_score,Mean_runtime,Std_runtime
Constant,191.70188942640178,0.0,0.0013846397399902345,0.00028072544341688714
Ridge,181.81462206440438,0.0,0.1628340244293213,0.01403408200401319
Mean,191.61806854648103,0.0,0.003349447250366211,0.0009919177017668527
ElasticNet,181.66163744223493,0.0,1.2709085941314697,0.0144377234329492
RBF SVR,191.11887302175228,0.0,13.234699869155884,0.2799148712997398
LinearReg,182.15216570004978,0.0,0.3974555492401123,0.06853799280423932
GradientBoost,182.02985282028257,0.11115348875185851,816.6934950351715,6.948779270531703
AdaBoost,183.96862426371607,0.13965005176847942,114.31097760200501,0.08326129409161519
RandomForest,180.17487840523458,0.1575841899559078,355.902835226059,4.355896872055223
KNN,184.4373713030433,0.0,0.7124585151672364,0.016043180496451776
XGBoost,183.46303051828633,0.0,44.69309239387512,0.43244389382745957
Median,191.57448857430856,0.0,0.0019078731536865234,0.000815831929902659
Lasso,181.59665590518404,0.0,1.1216205596923827,0.019124971585384776
